column,dtype,missing_values,unique_values
school,str,0,2
sex,str,0,2
age,int64,0,8
address,str,0,2
famsize,str,0,2
Pstatus,str,0,2
Medu,int64,0,5
Fedu,int64,0,5
Mjob,str,0,5
Fjob,str,0,5
reason,str,0,4
guardian,str,0,3
traveltime,int64,0,4
studytime,int64,0,4
failures,int64,0,4
schoolsup,str,0,2
famsup,str,0,2
paid,str,0,2
activities,str,0,2
nursery,str,0,2
higher,str,0,2
internet,str,0,2
romantic,str,0,2
famrel,int64,0,5
freetime,int64,0,5
goout,int64,0,5
Dalc,int64,0,5
Walc,int64,0,5
health,int64,0,5
absences,int64,0,24
G1,int64,0,17
G2,int64,0,16
G3,int64,0,17
