scenario,model,validation_MAE,validation_RMSE,validation_R2,test_MAE,test_RMSE,test_R2
with_G1_G2,DummyRegressor,2.3008,3.1360,-0.0004,2.5932,3.5229,-0.0291
with_G1_G2,Ridge Regression,0.7464,1.0457,0.8888,0.8256,1.3370,0.8518
with_G1_G2,RandomForestRegressor,0.6553,0.8831,0.9207,0.8287,1.4138,0.8343
top_features_with_G1_G2,DummyRegressor,2.3008,3.1360,-0.0004,2.5932,3.5229,-0.0291
top_features_with_G1_G2,Ridge Regression,0.6867,0.9735,0.9036,0.7671,1.2796,0.8642
top_features_with_G1_G2,RandomForestRegressor,0.6265,0.8656,0.9238,0.8437,1.4313,0.8301
without_G1_G2,DummyRegressor,2.3008,3.1360,-0.0004,2.5932,3.5229,-0.0291
without_G1_G2,Ridge Regression,2.0021,2.7782,0.2148,2.1474,2.9202,0.2929
without_G1_G2,RandomForestRegressor,2.0547,2.7633,0.2232,2.1991,2.9108,0.2974
top_features_without_G1_G2,DummyRegressor,2.3008,3.1360,-0.0004,2.5932,3.5229,-0.0291
top_features_without_G1_G2,Ridge Regression,1.9944,2.7461,0.2329,2.3211,3.0485,0.2294
top_features_without_G1_G2,RandomForestRegressor,2.0014,2.7076,0.2542,2.2974,3.0354,0.2360
